credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,credit_card,debt_consolidation,educational,home_improvement,major_purchase,small_business,not_fully_paid
1,0.1189,182.41,10.84941475,18.45,697,3419.958333,11812,67.9,1,0,0,0,0,0,0,0
0,0.138,61.35,9.852194257999999,3.85,682,959.9583332999997,1279,85.3,0,0,0,1,0,0,0,0
1,0.1136,798.1,11.72803684,13.73,727,5070.0,28237,59.7,0,0,1,0,0,0,0,0
1,0.1191,87.91,10.51686074,19.77,677,4559.958333,10679,55.3,1,0,1,0,0,0,0,0
0,0.16,175.79,10.66886237,13.12,682,810.0416667000002,2754,34.4,2,0,0,0,0,0,0,0
1,0.1197,116.2,10.61643736,21.97,687,3749.958333,17394,93.5,1,0,1,0,0,0,0,0
0,0.1357,339.69,10.37349118,22.95,687,3150.041667,10624,62.9,4,0,1,0,0,0,0,0
1,0.1253,301.2,10.59663473,14.46,692,3630.0,11786,42.2,0,0,1,0,0,0,0,0
1,0.1505,104.08,10.81977828,14.93,687,5639.958333,3149,98.4,0,0,0,0,0,1,0,0
1,0.0894,381.26,11.60823564,8.95,757,4860.0,6535,9.0,2,0,1,0,0,0,0,0
1,0.1531,409.08,10.81985828,22.51,667,3878.958333,32470,87.5,3,0,1,0,0,0,0,0
1,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,1,0,0,0,0,0,0
1,0.1422,126.86,9.769773286,3.36,707,1260.041667,1605,45.9,0,0,0,0,0,0,0,0
1,0.1442,515.74,12.4049235,20.01,692,7290.0,77179,82.5,1,0,1,0,0,0,0,0
1,0.0859,410.94,11.51292546,18.35,782,5580.041667,6031,5.8,2,0,1,0,0,0,0,0
1,0.08,200.56,11.06657586,0.0,807,3960.0,0,0.0,1,0,0,0,1,0,0,0
0,0.1568,42.01,10.59663473,20.58,662,1440.0,1498,78.8,4,1,0,0,0,0,0,0
1,0.0714,247.52,11.51092346,10.16,772,4380.0,21557,26.2,1,0,1,0,0,0,0,0
1,0.1099,245.52,10.79259207,6.83,722,5253.041667,14058,73.6,1,0,0,0,0,0,0,0
1,0.1136,493.67,11.93314361,9.0,742,4080.0,7939,85.4,1,1,0,0,0,0,0,0
1,0.1565,349.87,11.32055357,22.23,662,6960.041667,35876,80.8,1,0,1,0,0,0,0,0
1,0.1292,269.25,10.71441777,19.89,692,5249.958333,4755,89.7,1,0,1,0,0,0,0,0
1,0.1253,284.47,10.59663473,4.47,717,4806.0,7174,56.6,3,1,0,0,0,0,0,0
1,0.0963,320.95,10.77895629,13.8,742,5249.958333,9660,60.4,2,1,0,0,0,0,0,0
1,0.1287,437.24,10.66895539,14.93,717,4410.0,49,3.3,2,0,1,0,0,0,0,0
0,0.08,94.01,9.546812609,1.29,737,390.0,100,1.0,2,0,0,0,0,1,0,0
1,0.1385,443.35,10.91508846,13.9,682,4290.041667,20437,73.5,1,0,1,0,0,0,0,0
0,0.1531,870.39,11.91839057,22.7,762,6960.0,248480,42.4,0,0,0,0,0,0,1,0
1,0.1695,534.41,11.08220409,22.85,682,2670.041667,17820,98.5,0,0,1,0,0,0,0,0
1,0.1218,79.92,10.71441777,20.67,697,2580.0,563,4.5,1,0,0,0,0,0,0,0
1,0.1739,645.26,11.35040654,23.48,667,6124.958333,11369,91.7,1,1,0,0,0,0,0,0
1,0.1221,266.52,10.51604813,6.21,717,1589.958333,6883,65.6,0,0,0,0,0,0,0,0
0,0.147,138.08,10.22557105,22.61,642,1320.041667,3395,97.0,0,0,0,0,0,0,0,0
1,0.0859,284.5,10.77895629,7.13,767,5190.0,5276,73.3,0,0,1,0,0,0,0,0
0,0.0933,131.01,9.680344001,2.7,702,391.0,355,59.2,0,0,0,0,0,0,0,0
1,0.1051,325.08,11.05089001,22.63,717,6660.0,15655,44.3,3,0,1,0,0,0,0,0
1,0.0963,208.62,10.59653473,9.18,727,4980.041667,3736,14.2,3,0,0,0,0,0,0,0
1,0.1136,493.67,11.4756285,22.16,707,5130.0,22434,57.4,1,0,1,0,0,0,0,0
0,0.1576,300.46,10.49127422,22.53,647,2609.0,2066,18.1,4,0,0,0,0,0,1,0
1,0.0963,320.95,11.00209984,11.24,742,5790.0,3649,33.8,2,1,0,0,0,0,0,0
0,0.1412,134.38,11.2553328,12.37,657,3059.958333,11162,40.0,3,1,0,0,0,0,0,0
1,0.1071,195.61,10.62132735,12.38,697,3620.0,21196,46.2,3,0,1,0,0,0,0,0
1,0.1253,401.6,11.15625052,23.14,702,4470.041667,25498,64.6,2,1,0,0,0,0,0,0
1,0.0938,383.73,11.81303006,9.91,767,13620.0,1579,7.2,0,0,0,0,0,0,1,0
1,0.1095,130.86,10.4341158,9.0,772,5969.958333,16142,38.1,0,0,0,0,0,0,0,0
1,0.1635,537.01,10.645424900000002,18.57,707,7710.0,21389,69.9,1,0,0,0,0,0,1,0
0,0.1576,63.95,9.903687533,25.07,667,1319.958333,5411,35.6,3,0,1,0,0,0,0,0
1,0.1704,642.14,11.678406,17.74,672,5160.0,18938,53.8,1,0,1,0,0,0,0,0
1,0.0894,540.12,11.08214255,12.89,772,10889.95833,9242,18.1,1,0,1,0,0,0,0,0
1,0.1253,234.27,10.62132735,2.46,747,4978.041667,5327,47.4,7,0,0,1,0,0,0,0
1,0.0676,76.93,10.28192399,2.38,752,5610.041667,1988,13.3,2,0,0,0,0,0,0,0
1,0.1148,296.72,11.60823564,11.02,712,8830.0,38771,38.5,1,0,0,0,0,0,0,0
1,0.1392,273.1,11.35035948,5.99,682,2942.0,3634,55.9,0,0,0,0,0,1,0,0
1,0.0963,513.51,12.61153775,0.16,787,5460.0,2764,10.7,1,0,0,0,1,0,0,0
1,0.16699999999999998,701.16,10.858999,18.18,667,3000.041667,12532,57.0,2,0,0,0,0,0,0,0
1,0.0714,216.58,10.08580911,14.85,807,12791.0,268,0.7,0,0,0,0,0,1,0,0
1,0.0712,61.87,11.6784399,0.43,772,5936.0,4709,18.5,0,0,1,0,0,0,0,0
1,0.0859,31.62,10.49127422,1.9,737,2730.041667,603,2.2,0,0,1,0,0,0,0,0
1,0.1253,267.74,10.59653473,13.62,717,4710.0,29140,64.0,2,0,1,0,0,0,0,0
